RekurID;ID
2;9780
3;9180
4;9776
5;9777
6;9173
7;9172
8;9182
9;9187
10;9763
11;9190
12;9189
13;9778
14;9762
15;9181
16;9188
17;9163
18;9764
19;9175
20;9184
21;9775
22;9772
23;9179
24;9162
25;9183
26;9171
27;9774
28;9177
29;9761
30;9174
31;9277
32;9771
33;9275
34;9773
35;9178
36;9274
37;9185
38;9186
39;9261
40;9262
41;9161
42;9279
43;9271
44;9779
45;9176
46;9273
47;9278
48;9272
49;9263
50;9577
51;9571
52;9362
53;9375
54;9276
55;9576
56;9373
57;9372
58;9561
59;9565
60;9371
61;9564
62;9376
63;9679
64;9563
65;9361
66;9676
67;9575
68;9573
69;9572
70;9562
71;9574
72;9374
73;9474
74;9472
75;9363
76;9677
77;9663
78;9675
79;9471
80;9671
81;9461
82;9661
83;9678
84;9462
85;9377
86;9662
87;9674
88;9672
89;9478
90;9477
91;9479
92;9673
93;9473
94;9476
95;9475
96;9463
97;9464
98;1053
99;1056
100;1062
101;1060
102;1061
103;1003
104;1051
105;1058
106;1004
107;1055
108;1057
109;1054
110;1002
111;1059
112;1001
