LANDID;LandName;REKURID;DID;DestinationsName;Stadt;SonneStrand;Party;Wintersport;WellnessGesundheit;NaturCamping;SportFahrradWandern;Kreuzfahrt;Kultur
9;Spanien;40;9001;A Coruna;0;0;0;0;0;0;0;1;0
6;Italien;106;6024;Abruzzen;0;1;0;0;0;0;0;0;0
5;Griechenland;132;5012;Aegaische Inseln;0;1;0;0;0;0;0;0;0
3;Frankreich;10;3001;Ajaccio;0;0;0;0;0;0;0;1;0
7;Niederlande;52;7001;Amsterdam;1;0;1;0;0;0;0;1;1
6;Italien;105;6023;Apulien;0;1;0;0;0;0;0;0;0
3;Frankreich;75;3017;Aquitanien;0;1;0;0;0;0;0;0;0
5;Griechenland;70;5001;Athen;1;1;1;0;0;0;0;1;1
9;Spanien;93;9026;Balearen;0;1;0;0;0;0;0;0;0
9;Spanien;34;9002;Barcelona;1;1;1;0;0;0;0;1;1
6;Italien;24;6001;Bari;0;0;0;0;0;0;0;1;0
6;Italien;150;6032;Basilicata;0;1;0;0;0;0;0;0;0
4;Deutschland;64;4001;Berlin;1;0;1;0;0;0;0;0;1
9;Spanien;6;9003;Bilbao;0;0;0;0;0;0;0;1;1
4;Deutschland;148;4029;Bodensee;0;1;0;0;0;0;0;0;0
3;Frankreich;28;3002;Bordeaux;1;1;1;0;0;0;0;1;1
4;Deutschland;58;4002;Bremen;1;0;1;0;0;0;0;0;1
4;Deutschland;19;4003;Bremerhaven;0;0;0;0;0;0;0;1;0
8;Polen;65;8001;Breslau;1;0;1;0;0;0;0;0;1
3;Frankreich;2;3003;Brest;0;0;0;0;0;0;0;1;0
3;Frankreich;79;3021;Bretagne;0;1;0;0;0;0;0;0;0
9;Spanien;7;9004;Cadiz;0;0;0;0;0;0;0;1;0
6;Italien;13;6002;Civitavecchia;0;0;0;0;0;0;0;1;0
9;Spanien;80;9013;Costa Brava;0;1;0;0;0;0;0;0;0
9;Spanien;81;9014;Costa Daurada;0;1;0;0;0;0;0;0;0
9;Spanien;85;9018;Costa de Almería;0;1;0;0;0;0;0;0;0
9;Spanien;82;9015;Costa del Maresme/Garraf;0;1;0;0;0;0;0;0;0
9;Spanien;87;9020;Costa del Sol;0;1;0;0;0;0;0;0;0
9;Spanien;91;9024;Costa Verde;0;1;0;0;0;0;0;0;0
3;Frankreich;72;3014;Cote dAzur;0;1;0;0;0;0;0;0;0
4;Deutschland;20;4004;Cuxhafen;0;0;0;0;0;0;0;1;0
7;Niederlande;50;7003;Den Haag;1;0;0;0;0;0;0;0;0
5;Griechenland;125;5005;Dodekanes;0;1;0;0;0;0;0;0;0
4;Deutschland;55;4005;Dortmund;1;0;1;0;0;0;0;0;1
4;Deutschland;62;4006;Dresden;1;0;1;0;0;0;0;0;1
2;Kroatien;119;2007;Dubrovnik;0;1;0;0;0;0;0;0;0
4;Deutschland;53;4007;Duesseldorf;1;0;1;0;0;0;0;0;1
6;Italien;109;6027;Emilia-Romagna;0;1;0;0;0;0;0;0;0
5;Griechenland;129;5009;Epirus;0;1;0;0;0;0;0;0;0
4;Deutschland;54;4008;Essen;1;0;1;0;0;0;0;0;1
7;Niederlande;122;7006;Flevoland;0;1;0;0;0;0;0;0;0
4;Deutschland;57;4009;Frankfurt am Main;1;0;1;0;0;0;0;0;1
6;Italien;112;6030;Friaul-Julisch Venetien;0;1;0;0;0;0;0;0;0
