Year;ID;male;female
95;1001;41996;45280
95;1002;118965;127068
95;1003;102533;114453
95;1004;39495;42533
95;1051;65434;67994
95;1053;82461;87597
95;1054;78184;80864
95;1055;95195;102183
95;1056;138384;144154
95;1057;63068;62323
95;1058;127436;130604
95;1059;93573;94556
95;1060;116215;120868
95;1061;65607;67577
95;1062;101711;107150
95;2000;822623;885278
95;3101;121519;131025
95;3102;57380;60333
95;3103;61953;64378
95;3151;80957;80869
95;3152;129670;136480
95;3153;77866;83683
95;3154;49643;52186
95;3155;74739;79447
95;3156;42687;46175
95;3157;61961;64819
95;3158;59269;62601
95;3201;247775;275372
95;3241;-;-
95;3251;100915;102789
95;3252;77755;86043
95;3253;285726;300220
95;3254;140650;151875
95;3255;40266;43075
95;3256;61094;62971
95;3257;78730;83709
95;3351;86762;92381
95;3352;97584;101070
95;3353;106511;109464
95;3354;25041;26616
95;3355;75845;80048
95;3356;52319;53257
95;3357;76290;76398
95;3358;66920;67891
95;3359;91219;92509
95;3360;46183;49710
95;3361;63054;65054
95;3401;38324;39902
95;3402;25172;26387
95;3403;71764;79618
95;3404;79938;88680
95;3405;44453;46214
95;3451;51106;52545
95;3452;87969;92149
95;3453;70557;70622
95;3454;145714;147279
95;3455;47872;50057
95;3456;61749;63972
95;3457;75339;78718
95;3458;56355;56567
95;3459;169275;173533
95;3460;59153;59422
95;3461;46526;47535
95;3462;27040;28185
95;4011;263636;285721
95;4012;63687;66713
95;5111;267763;303267
95;5112;259292;275958
95;5113;291858;323003
95;5114;121150;128456
95;5116;127730;138972
95;5117;83774;92756
95;5119;108226;116171
95;5120;58646;63614
95;5122;79385;86350
95;5124;182474;199410
95;5154;142418;145653
95;5158;244559;260139
95;5162;213560;222096
95;5166;140769;147681
95;5170;227785;237669
95;5313;123660;124263
95;5314;137825;153606
95;5315;467013;498684
95;5316;78850;83402
95;5334;-;-
95;5354;148020;154410
95;5358;127990;130575
95;5362;217699;224657
95;5366;89818;92359
95;5370;117737;120890
95;5374;136373;144541
95;5378;130713;138828
95;5382;267966;278704
95;5512;58331;62311
95;5513;139806;151358
95;5515;123895;141166
95;5554;170428;172260
95;5558;99063;103155
95;5562;322248;340683
95;5566;205769;210483
95;5570;133906;138628
95;5711;153596;170470
95;5754;161840;167203
95;5758;120182;130586
95;5762;75888;78513
95;5766;173305;187166
95;5770;152938;163201
95;5774;136743;141277
95;5911;193282;207113
95;5913;289552;309288
95;5914;101624;110379
95;5915;89452;93956
95;5916;87605;92292
95;5954;169471;182598
95;5958;139950;143907
95;5962;223632;234589
95;5966;68939;69176
95;5970;147653;151683
95;5974;146112;152565
95;5978;205948;216714
95;6411;67738;71242
95;6412;315190;334865
95;6413;56965;59568
95;6414;127189;139933
95;6431;127772;131937
95;6432;139069;139997
95;6433;122404;122560
95;6434;105615;114393
95;6435;197705;203644
95;6436;104268;109167
95;6437;48472;49833
95;6438;162314;166468
95;6439;90148;92248
95;6440;139756;144164
95;6531;123054;129311
95;6532;129048;133904
95;6533;84054;86824
95;6534;123335;127771
95;6535;58794;59787
95;6611;95244;106329
95;6631;103929;108143
95;6632;65252;67907
95;6633;118665;123499
95;6634;95107;97399
95;6635;83716;86502
95;6636;57280;60435
95;7111;51862;57357
95;7131;60940;64437
95;7132;66351;68642
95;7133;75003;80594
95;7134;43995;46343
95;7135;32120;32839
95;7137;100458;103994
95;7138;87012;91467
95;7140;50646;52746
95;7141;62028;65428
95;7143;96659;99010
95;7211;46636;52792
95;7231;55577;57624
95;7232;47306;48615
95;7233;31017;31731
95;7235;66232;67845
95;7311;23692;24679
95;7312;49908;52094
95;7313;18936;20906
95;7314;82655;84714
95;7315;88616;95104
95;7316;25527;28261
95;7317;22946;25410
95;7318;23696;25968
95;7319;38817;41197
95;7320;17446;18686
95;7331;57649;59063
95;7332;63736;66822
95;7333;37792;38510
95;7334;59036;59800
95;7335;53332;55414
95;7336;39290;40112
95;7337;52435;54400
95;7338;70513;72903
95;7339;92086;95275
95;7340;51951;53236
95;8111;284163;301441
95;8115;173712;177315
95;8116;241295;248874
95;8117;125347;129856
95;8118;239829;246002
95;8119;196675;202441
95;8121;59180;62329
95;8125;149933;153580
95;8126;51669;52678
95;8127;88837;91811
95;8128;67158;69761
95;8135;66931;70384
95;8136;152904;158206
95;8211;23836;28909
95;8212;133336;142354
95;8215;199947;205848
95;8216;107179;111803
95;8221;65222;73559
95;8222;152282;159010
95;8225;72650;74132
95;8226;250811;261634
95;8231;56252;62511
95;8235;76881;80296
95;8236;91911;94901
95;8237;57939;61227
95;8311;93622;105651
95;8315;112161;118678
95;8316;71524;74894
95;8317;194632;204501
95;8325;67826;71118
95;8326;101226;107602
95;8327;63510;65981
95;8335;125526;133142
95;8336;103070;109052
95;8337;79817;83509
95;8415;132607;139450
95;8416;100608;103360
95;8417;94364;98498
95;8421;56253;59468
95;8425;89813;90496
95;8426;86902;88720
95;8435;94171;98776
95;8436;128542;132904
95;8437;64794;65858
95;9161;54903;57076
95;9162;596109;640261
95;9163;28779;30141
95;9171;51083;54831
95;9172;46802;52144
95;9173;53855;57140
95;9174;60226;61918
95;9175;54307;55862
95;9176;56324;56520
95;9177;52445;52064
95;9178;71109;69913
95;9179;91300;94935
95;9180;40495;45267
95;9181;49934;49623
95;9182;42045;46595
95;9183;51858;53935
95;9184;138155;140852
95;9185;42417;43580
95;9186;52673;52780
95;9187;109596;115116
95;9188;56820;62703
95;9189;78276;84600
95;9190;59629;61127
95;9261;27527;31692
95;9262;23808;27077
95;9263;21368;22894
95;9271;55191;57347
95;9272;40074;41787
95;9273;51927;52136
95;9274;66622;66909
95;9275;89268;92773
95;9276;40695;41499
95;9277;56422;58859
95;9278;45000;45923
95;9279;43191;43398
95;9361;20717;22894
95;9362;59820;66016
95;9363;20166;23031
95;9371;52229;53367
95;9372;63934;65535
95;9373;59529;60990
95;9374;49118;50502
95;9375;82869;83346
95;9376;69303;70584
95;9377;39517;41007
95;9461;32345;37307
95;9462;34573;38443
95;9463;20751;23402
95;9464;24579;28011
95;9471;68224;68704
95;9472;52928;54571
95;9473;44680;46418
95;9474;54165;55560
95;9475;53282;57343
95;9476;37506;39455
95;9477;37974;40477
95;9478;34521;35991
95;9479;42387;46880
95;9561;18951;20945
95;9562;49354;52052
95;9563;51836;56582
95;9564;235030;257395
95;9565;18102;19537
95;9571;87654;90611
95;9572;61938;62254
95;9573;53981;56195
95;9574;81211;84945
95;9575;46858;48205
95;9576;59296;60276
95;9577;45948;48098
95;9661;31757;34603
95;9662;26344;29378
95;9663;58654;68641
95;9671;84629;85936
95;9672;52888;56325
95;9673;43008;43261
95;9674;43316;43687
95;9675;43204;44182
95;9676;63788;64473
95;9677;65021;66424
95;9678;56390;57468
95;9679;76551;77724
95;9761;123645;136054
95;9762;20280;22468
95;9763;29150;32507
95;9764;19542;21049
95;9771;58641;59280
95;9772;111842;114751
95;9773;44808;46013
95;9774;59235;60313
95;9775;77769;79471
95;9776;36392;39404
95;9777;62344;64724
95;9778;63903;66263
95;9779;63569;64063
95;9780;69855;74782
95;10041;171128;186820
95;10042;51531;54293
95;10043;72988;77301
95;10044;105543;109942
95;10045;77145;81332
95;10046;47240;49107
95;11000;1674278;1797140
95;12051;41662;44332
95;12052;59863;63351
95;12053;39094;41713
95;12054;66502;70117
95;12060;74935;76848
95;12061;71630;73360
95;12062;66786;70103
95;12063;64450;66931
95;12064;85547;87030
95;12065;83921;86584
95;12066;77037;79721
95;12067;94310;96529
95;12068;57011;58994
95;12069;89424;90900
95;12070;49238;52183
95;12071;75192;78301
95;12072;72602;75531
95;12073;79121;81189
95;13001;29594;31178
95;13002;39505;40978
95;13003;111992;115543
95;13004;55337;59351
95;13005;31992;33985
95;13006;24496;25872
95;13051;50070;50796
95;13052;48673;50343
95;13053;57300;59224
95;13054;62186;64163
95;13055;42305;43991
95;13056;34591;35890
95;13057;58176;60166
95;13058;56589;57325
95;13059;56997;58253
95;13060;53174;54263
95;13061;39191;40069
95;13062;44368;45158
95;14161;126247;140490
95;14166;31756;36277
95;14167;48526;54037
95;14171;44142;47907
95;14173;72473;80608
95;14177;75130;80676
95;14178;102233;113810
95;14181;47937;51136
95;14182;68845;74950
95;14188;47807;51675
95;14191;71768;78314
95;14193;69698;76528
95;14262;225218;243892
95;14263;31014;35104
95;14264;29253;30772
95;14272;78729;83807
95;14280;79040;84960
95;14284;56341;57034
95;14285;61919;65837
95;14286;78110;85293
95;14287;77289;82295
95;14290;55874;59086
95;14292;78257;82163
95;14365;225227;245551
95;14374;47518;49621
95;14375;38957;42598
95;14379;114547;120334
95;14383;59528;63572
95;14389;51214;53679
95;14511;-;-
