id;class;location;collaborators;initialPlans
intVal;string;intSet;intSet;intSet
2;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{49257,50438,50439,51027,51028,51029,51030,51617,51618,51619,51620,52207,52208,52209};{};{1001}
3;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{49264,49265,49854,49855,50443,50444,50445,51033,51034,51035,51624,51625,51626};{};{1001}
4;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{49845,49846,49847,50433,50434,50435,50436,50437,51024,51025,51026};{};{1001}
5;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{47490,47491,48079,48080,48669,49260,49261,49850,49851,50440,50441,50442,51031,51032};{};{1001}
6;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{47497,48086,48087,48088,48089,48676,48677,48678,48679,49266,49267,49268,49269,49856,49857,49858,49859,50446,50447,50448,50449,51036,51037,51038};{};{1001}
7;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{47508,48097,48098,48099,48687,48688,48689,49276,49277,49278,49279,49866,49867,49868,49869,50457,50458,50459,51048,51049};{};{1001}
8;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{48680,48681,49270,49271,49860,49861,49862,50450,50451};{};{1001}
9;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{47503,47504,48093,48094,48683,48684,49272,49273,49274,49863,50453};{};{1001}
10;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{49258,49259,49848,49849};{};{1001}
11;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{49262,49263,49852,49853};{};{1001}
12;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{47505,47506,47507,48095,48096,48685,48686,49275,49864,49865};{};{1001}
13;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{46899,46900,47489,48667,48668};{};{1001}
14;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{48081,48670,48671};{};{1001}
15;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{46313,46902,46903,47492,47493,47494,47495,48082,48083,48084,48085,48672,48673,48674};{};{1001}
17;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{48092,48682};{};{1001}
16;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{47496,48675};{};{1001}
19;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{46320,46321,46910,46911,46912,47499,47500,47501,47502,48090,48091};{};{1001}
18;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{47487,47488,48077,48078};{};{1001}
21;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{45126,45127,45716,45717,46307,46897,46898};{};{1001}
20;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{47498};{};{1001}
23;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{45724,46314,46315,46904,46905,46906};{};{1001}
22;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{43362,43952,44540,44541,44542,45130,45131,45720,45721,46310,46311,46312,46901};{};{1001}
25;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{44554,44555,45144,45734,46324,46913,46914};{};{1001}
24;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{45727,45728,46316,46317,46318,46319,46907,46908,46909};{};{1001}
27;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{44537,45128,45129,45718,45719,46308,46309};{};{1001}
26;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{45145,45146,45147,45735,45736,45737,45738,46325,46326,46327,46328,46915,46916,46917};{};{1001}
29;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{44543,45132,45133,45722,45723};{};{1001}
28;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{44550,44551,44552,45139,45140,45141,45142,45143,45729,45730,45731,45732,45733,46322,46323};{};{1001}
31;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{43377,43966,43967,44556,44557,44558,45148,45739,45740};{};{1001}
30;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{44545,44546,44547,45135,45136,45137,45138,45725,45726};{};{1001}
34;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{42768,42769,42770,42771,43358,43359,43360,43361,43948,43949,43950,43951,44538,44539};{};{1001}
35;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{43369,43370,43958,43959,43960,43961,44548,44549};{};{1001}
32;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{43363,43953,43954,44544,45134};{};{1001}
33;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{43383,43384,43968,43969,43970,43973,43974,44559,44560,44561,44562,45149,45150,45151};{};{1001}
38;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{42779,43368,43957};{};{1001}
39;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{43373,43962,43963};{};{1001}
36;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{42783,42784,43371,43372,43374,43964,43965,44553};{};{1001}
37;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{42773,42774,43364,43365,43955,43956};{};{1001}
42;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{43375,43376};{};{1001}
43;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{41017,41018,41607,41608,41609,41610,42196,42197,42198,42199,42200,42787,42788,42789,42790,43378,43379};{};{1001}
40;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{43380,43381,43382,43971,43972};{};{1001}
41;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{42186,42187,42776,42777,43366,43367};{};{1001}
46;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{41009,41010,41011,41600,41601,41602,42190,42191,42192,42780,42781,42782};{};{1001}
47;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{40424,40425,41014,41015,41016,41603,42193,42194,42785,42786};{};{1001}
44;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{41589,41590,42179,42180,42181,42182,42772};{};{1001}
45;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{40415,40416,40417,40418,41004,41005,41006,41007,41008,41593,41594,41595,41596,41597,41598,41599,42183,42184,42185,42188,42189,42775,42778};{};{1001}
51;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38047,38048,38049,38050,38051,38052,38637,38638,38639,38642,39227,39228,39229,39232,39233,39817,39818,39819,39820,39821,39822,39823,40408,40409,40410,40411,40998,40999,41000,41001};{};{1001}
50;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{40412,41002,41003,41591,41592};{};{1001}
49;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{41604,41605,41606,42195};{};{1001}
48;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{41020,41021,41022,41023,41611,41612,41613,41614,42201,42202,42203,42204,42791,42792,42793,42794};{};{1001}
55;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{39824,40413,40414};{};{1001}
54;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{39836,39837,39838,39839,39840,39841,40426,40427,40428,40429,40430,40431,41019};{};{1001}
53;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{39242,39831,39832,40420,41013};{};{1001}
52;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{40421,40422,41012};{};{1001}
59;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38643,39234};{};{1001}
58;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38640,38641,39230,39231};{};{1001}
57;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{37475,38064,38065,38066,38654,38655,38656,38657,38658,39243,39244,39245,39246,39247,39248,39249,39833,39834,39835,40423};{};{1001}
56;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{38057,38645,38646,38647,39235,39236,39237,39238,39825,39826,39827,39828,39829,39830,40419};{};{1001}
63;org.glowa.danube.components.actor.touristmodel.DA_SourceArea;{36274,36275,36865,36866,37455,37456,38046};{};{1001}
