id;class;location;collaborators;initialPlans
intVal;string;intSet;intSet;intSet
2;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{113436};{};{1001}
3;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{111826};{};{1001}
4;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{107524};{};{1001}
5;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{106608};{};{1001}
6;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{99907};{};{1001}
7;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{94132};{};{1001}
8;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{91030};{};{1001}
9;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{88721};{};{1001}
10;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{87627};{};{1001}
11;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{85156};{};{1001}
12;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{81865};{};{1001}
13;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{78129};{};{1001}
14;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{75784};{};{1001}
15;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{73968};{};{1001}
17;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{66938};{};{1001}
16;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{71078};{};{1001}
19;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{64590};{};{1001}
18;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{65103};{};{1001}
21;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{61102};{};{1001}
20;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{61607};{};{1001}
23;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{46908};{};{1001}
22;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{48580};{};{1001}
25;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{42760};{};{1001}
24;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{45173};{};{1001}
27;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{38054};{};{1001}
26;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{40351};{};{1001}
29;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{31037};{};{1001}
28;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{33317};{};{1001}
31;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{27995};{};{1001}
30;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{28558};{};{1001}
34;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{25705};{};{1001}
35;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{25083};{};{1001}
32;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{26862};{};{1001}
33;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{25634};{};{1001}
38;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{20899};{};{1001}
39;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{19718};{};{1001}
36;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{24456};{};{1001}
37;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{23869};{};{1001}
42;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{17952};{};{1001}
43;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{17419};{};{1001}
40;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{19821};{};{1001}
41;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{18575};{};{1001}
46;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{13848};{};{1001}
47;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{10906};{};{1001}
44;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{17443};{};{1001}
45;org.glowa.danube.components.actor.destinationModel.deepactors.DD_AbstractDeepActor;{16290};{};{1001}
